"site","relative","name","xmltv_id","lang","site_id","country","hd_flag","norm_name"
"tv24.co.uk","tv24.co.uk\tv24.co.uk.channels.xml","More 4","More4.uk@SD","en","more-4","UK","SD","more4"
"tv24.co.uk","tv24.co.uk\tv24.co.uk.channels.xml","More 4 HD","","en","more-4-hd","UK","HD","more4hd"
"tv24.co.uk","tv24.co.uk\tv24.co.uk.channels.xml","Movies 24","","en","movies-24","UK","SD","movies24"
"tv24.co.uk","tv24.co.uk\tv24.co.uk.channels.xml","Movies 24+","","en","movies-24-1","UK","SD","movies24"
"tv24.co.uk","tv24.co.uk\tv24.co.uk.channels.xml","MTV","","en","mtv","UK","SD","mtv"
"tv24.co.uk","tv24.co.uk\tv24.co.uk.channels.xml","MTV 80s UK (VM)","","en","mtv-80s-uk-vm","UK","SD","mtv80sukvm"
"tv24.co.uk","tv24.co.uk\tv24.co.uk.channels.xml","MTV 90s UK","","en","mtv-base","UK","SD","mtv90suk"
"tv24.co.uk","tv24.co.uk\tv24.co.uk.channels.xml","MTV 80s UK","","en","mtv-classic","UK","SD","mtv80suk"
"tv24.co.uk","tv24.co.uk\tv24.co.uk.channels.xml","MTV Deutschland","","en","mtv-deutschland","UK","SD","mtvdeutschland"
"tv24.co.uk","tv24.co.uk\tv24.co.uk.channels.xml","MTV HD","","en","mtv-hd","UK","HD","mtvhd"
"tv24.co.uk","tv24.co.uk\tv24.co.uk.channels.xml","MTV Hits","","en","mtv-hits","UK","SD","mtvhits"
"tv24.co.uk","tv24.co.uk\tv24.co.uk.channels.xml","MTV Music","","en","mtv-music","UK","SD","mtvmusic"
